#APT	APL	APR	APB	intvls	post_delay	filename
-5.75	6.25:-5.75	-5.75:6.25	6.25	48	0.0	#названия файла для записи нет
-5.5	-5.75:6.25	6.25:-5.75	6	48	0.0	
-5.25	6.25:-5.75	-5.75:6.25	5.75	48	0.0	
-5	-5.75:6.25	6.25:-5.75	5.5	48	0.0	
-4.75	6.25:-5.75	-5.75:6.25	5.25	48	0.0	
-4.5	-5.75:6.25	6.25:-5.75	5	48	0.0	
-4.25	6.25:-5.75	-5.75:6.25	4.75	48	0.0	
-4	-5.75:6.25	6.25:-5.75	4.5	48	0.0	
-3.75	6.25:-5.75	-5.75:6.25	4.25	48	0.0	
-3.5	-5.75:6.25	6.25:-5.75	4	48	0.0	
-3.25	6.25:-5.75	-5.75:6.25	3.75	48	0.0	
-3	-5.75:6.25	6.25:-5.75	3.5	48	0.0	
-2.75	6.25:-5.75	-5.75:6.25	3.25	48	0.0	
-2.5	-5.75:6.25	6.25:-5.75	3	48	0.0	
-2.25	6.25:-5.75	-5.75:6.25	2.75	48	0.0	
-2	-5.75:6.25	6.25:-5.75	2.5	48	0.0	
-1.75	6.25:-5.75	-5.75:6.25	2.25	48	0.0	
-1.5	-5.75:6.25	6.25:-5.75	2	48	0.0	
-1.25	6.25:-5.75	-5.75:6.25	1.75	48	0.0	
-1	-5.75:6.25	6.25:-5.75	1.5	48	0.0	
-0.75	6.25:-5.75	-5.75:6.25	1.25	48	0.0	
-0.5	-5.75:6.25	6.25:-5.75	1	48	0.0	
-0.25	6.25:-5.75	-5.75:6.25	0.75	48	0.0	
0	-5.75:6.25	6.25:-5.75	0.5	48	0.0	
0.25	6.25:-5.75	-5.75:6.25	0.25	48	0.0	
0.5	-5.75:6.25	6.25:-5.75	0	48	0.0	
0.75	6.25:-5.75	-5.75:6.25	-0.25	48	0.0	
1	-5.75:6.25	6.25:-5.75	-0.5	48	0.0	
1.25	6.25:-5.75	-5.75:6.25	-0.75	48	0.0	
1.5	-5.75:6.25	6.25:-5.75	-1	48	0.0	
1.75	6.25:-5.75	-5.75:6.25	-1.25	48	0.0	
2	-5.75:6.25	6.25:-5.75	-1.5	48	0.0	
2.25	6.25:-5.75	-5.75:6.25	-1.75	48	0.0	
2.5	-5.75:6.25	6.25:-5.75	-2	48	0.0	
2.75	6.25:-5.75	-5.75:6.25	-2.25	48	0.0	
3	-5.75:6.25	6.25:-5.75	-2.5	48	0.0	
3.25	6.25:-5.75	-5.75:6.25	-2.75	48	0.0	
3.5	-5.75:6.25	6.25:-5.75	-3	48	0.0	
3.75	6.25:-5.75	-5.75:6.25	-3.25	48	0.0	
4	-5.75:6.25	6.25:-5.75	-3.5	48	0.0	
4.25	6.25:-5.75	-5.75:6.25	-3.75	48	0.0	
4.5	-5.75:6.25	6.25:-5.75	-4	48	0.0	
4.75	6.25:-5.75	-5.75:6.25	-4.25	48	0.0	
5	-5.75:6.25	6.25:-5.75	-4.5	48	0.0	
5.25	6.25:-5.75	-5.75:6.25	-4.75	48	0.0	
5.5	-5.75:6.25	6.25:-5.75	-5	48	0.0	
5.75	6.25:-5.75	-5.75:6.25	-5.25	48	0.0	
6	-5.75:6.25	6.25:-5.75	-5.5	48	0.0	
6.25	6.25:-5.75	-5.75:6.25	-5.75	48	0.0	
