time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2	TH2690A_1.VOLT	TH2690A_1.CURR
1.543	21.000	20.000	21.000	21.000	-2.400e+01	-1.384e-09	1.734e+10	-2.400e+01	-5.028e-09	4.774e+09	2.190e+01	-4.558e-07
2.417	21.000	19.900	21.000	21.000	-2.400e+01	-1.358e-09	1.767e+10	-2.400e+01	-5.040e-09	4.762e+09	2.190e+01	-4.558e-07
3.130	21.000	19.800	21.000	21.000	-2.400e+01	-1.359e-09	1.766e+10	-2.400e+01	-5.032e-09	4.770e+09	2.190e+01	-4.558e-07
3.847	21.000	19.700	21.000	21.000	-2.400e+01	-1.388e-09	1.730e+10	-2.400e+01	-5.094e-09	4.711e+09	2.190e+01	-4.558e-07
4.563	21.000	19.600	21.000	21.000	-2.400e+01	-1.341e-09	1.789e+10	-2.400e+01	-5.029e-09	4.772e+09	2.190e+01	-4.558e-07
5.273	21.000	19.500	21.000	21.000	-2.400e+01	-1.363e-09	1.761e+10	-2.400e+01	-5.061e-09	4.742e+09	2.190e+01	-4.558e-07
5.983	21.000	19.400	21.000	21.000	-2.400e+01	-1.348e-09	1.780e+10	-2.400e+01	-5.023e-09	4.778e+09	2.190e+01	-4.558e-07
6.722	21.000	19.300	21.000	21.000	-2.400e+01	-1.360e-09	1.764e+10	-2.400e+01	-5.042e-09	4.760e+09	2.190e+01	-4.557e-07
7.436	21.000	19.200	21.000	21.000	-2.400e+01	-1.324e-09	1.812e+10	-2.400e+01	-5.048e-09	4.754e+09	2.190e+01	-4.557e-07
8.163	21.000	19.100	21.000	21.000	-2.400e+01	-1.389e-09	1.728e+10	-2.400e+01	-5.060e-09	4.743e+09	2.190e+01	-4.557e-07
8.893	21.000	19.000	21.000	21.000	-2.400e+01	-1.413e-09	1.699e+10	-2.400e+01	-5.006e-09	4.794e+09	2.190e+01	-4.557e-07
9.624	21.000	18.900	21.000	21.000	-2.400e+01	-1.365e-09	1.758e+10	-2.400e+01	-5.057e-09	4.746e+09	2.190e+01	-4.557e-07
10.353	21.000	18.800	21.000	21.000	-2.400e+01	-1.331e-09	1.803e+10	-2.400e+01	-5.061e-09	4.742e+09	2.190e+01	-4.557e-07
11.083	21.000	18.700	21.000	21.000	-2.400e+01	-1.356e-09	1.770e+10	-2.400e+01	-5.048e-09	4.754e+09	2.190e+01	-4.557e-07
11.814	21.000	18.600	21.000	21.000	-2.400e+01	-1.376e-09	1.744e+10	-2.400e+01	-5.037e-09	4.765e+09	2.190e+01	-4.557e-07
12.553	21.000	18.500	21.000	21.000	-2.400e+01	-1.395e-09	1.720e+10	-2.400e+01	-5.029e-09	4.772e+09	2.190e+01	-4.557e-07
13.293	21.000	18.400	21.000	21.000	-2.400e+01	-1.311e-09	1.831e+10	-2.400e+01	-5.018e-09	4.783e+09	2.190e+01	-4.556e-07
14.033	21.000	18.300	21.000	21.000	-2.400e+01	-1.425e-09	1.684e+10	-2.400e+01	-5.028e-09	4.774e+09	2.190e+01	-4.556e-07
