time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2
25.612	24.000	20.000	24.000	24.000	-2.400e+01	-9.313e-11	2.577e+11	-2.400e+01	-2.298e-09	1.044e+10
26.447	24.000	19.900	24.000	24.000	-2.400e+01	-1.459e-10	1.645e+11	-2.400e+01	-2.278e-09	1.053e+10
27.162	24.000	19.800	24.000	24.000	-2.400e+01	-1.797e-10	1.335e+11	-2.400e+01	-2.266e-09	1.059e+10
27.883	24.000	19.700	24.000	24.000	-2.400e+01	-1.416e-10	1.695e+11	-2.400e+01	-2.294e-09	1.046e+10
28.593	24.000	19.600	24.000	24.000	-2.400e+01	-1.459e-10	1.645e+11	-2.400e+01	-2.302e-09	1.043e+10
29.302	24.000	19.500	24.000	24.000	-2.400e+01	-1.493e-10	1.607e+11	-2.400e+01	-2.292e-09	1.047e+10
30.012	24.000	19.400	24.000	24.000	-2.400e+01	-1.699e-10	1.412e+11	-2.400e+01	-2.297e-09	1.045e+10
30.722	24.000	19.300	24.000	24.000	-2.400e+01	-1.715e-10	1.399e+11	-2.400e+01	-2.285e-09	1.050e+10
31.449	24.000	19.200	24.000	24.000	-2.400e+01	-1.547e-10	1.551e+11	-2.400e+01	-2.337e-09	1.027e+10
32.179	24.000	19.100	24.000	24.000	-2.400e+01	-1.924e-10	1.247e+11	-2.400e+01	-2.294e-09	1.046e+10
32.898	24.000	19.000	24.000	24.000	-2.400e+01	-1.658e-10	1.448e+11	-2.400e+01	-2.319e-09	1.035e+10
33.631	24.000	18.900	24.000	24.000	-2.400e+01	-1.359e-10	1.767e+11	-2.400e+01	-2.334e-09	1.028e+10
34.359	24.000	18.800	24.000	24.000	-2.400e+01	-1.590e-10	1.510e+11	-2.400e+01	-2.325e-09	1.032e+10
35.089	24.000	18.700	24.000	24.000	-2.400e+01	-1.609e-10	1.491e+11	-2.400e+01	-2.305e-09	1.041e+10
35.819	24.000	18.600	24.000	24.000	-2.400e+01	-1.370e-10	1.751e+11	-2.400e+01	-2.293e-09	1.047e+10
36.560	24.000	18.500	24.000	24.000	-2.400e+01	-1.293e-10	1.856e+11	-2.400e+01	-2.314e-09	1.037e+10
37.309	24.000	18.400	24.000	24.000	-2.400e+01	-1.670e-10	1.437e+11	-2.400e+01	-2.303e-09	1.042e+10
38.049	24.000	18.300	24.000	24.000	-2.400e+01	-1.331e-10	1.803e+11	-2.400e+01	-2.293e-09	1.047e+10
38.783	24.000	18.200	24.000	24.000	-2.400e+01	-1.416e-10	1.695e+11	-2.400e+01	-2.295e-09	1.046e+10
39.548	24.000	18.100	24.000	24.000	-2.400e+01	-1.001e-10	2.397e+11	-2.400e+01	-2.302e-09	1.043e+10
40.283	24.000	18.000	24.000	24.000	-2.400e+01	-1.839e-10	1.305e+11	-2.400e+01	-2.296e-09	1.045e+10
41.033	24.000	17.900	24.000	24.000	-2.400e+01	-1.695e-10	1.416e+11	-2.400e+01	-2.330e-09	1.030e+10
41.772	24.000	17.800	24.000	24.000	-2.400e+01	-1.454e-10	1.651e+11	-2.400e+01	-2.332e-09	1.029e+10
42.529	24.000	17.700	24.000	24.000	-2.400e+01	-1.581e-10	1.518e+11	-2.400e+01	-2.345e-09	1.023e+10
43.269	24.000	17.600	24.000	24.000	-2.400e+01	-1.611e-10	1.490e+11	-2.400e+01	-2.365e-09	1.015e+10
44.012	24.000	17.500	24.000	24.000	-2.400e+01	-1.682e-10	1.427e+11	-2.400e+01	-2.385e-09	1.006e+10
44.758	24.000	17.400	24.000	24.000	-2.400e+01	-1.109e-10	2.165e+11	-2.400e+01	-2.369e-09	1.013e+10
45.492	24.000	17.300	24.000	24.000	-2.400e+01	-1.159e-10	2.071e+11	-2.400e+01	-2.346e-09	1.023e+10
46.229	24.000	17.200	24.000	24.000	-2.400e+01	-1.514e-10	1.585e+11	-2.400e+01	-2.318e-09	1.035e+10
46.969	24.000	17.100	24.000	24.000	-2.400e+01	-1.856e-10	1.293e+11	-2.400e+01	-2.335e-09	1.028e+10
47.709	24.000	17.000	24.000	24.000	-2.400e+01	-1.713e-10	1.401e+11	-2.400e+01	-2.305e-09	1.041e+10
48.463	24.000	16.900	24.000	24.000	-2.400e+01	-1.535e-10	1.563e+11	-2.400e+01	-2.283e-09	1.051e+10
49.207	24.000	16.800	24.000	24.000	-2.400e+01	-1.559e-10	1.540e+11	-2.400e+01	-2.320e-09	1.034e+10
49.949	24.000	16.700	24.000	24.000	-2.400e+01	-1.308e-10	1.835e+11	-2.400e+01	-2.351e-09	1.021e+10
50.692	24.000	16.600	24.000	24.000	-2.400e+01	-8.398e-11	2.858e+11	-2.400e+01	-2.356e-09	1.019e+10
51.448	24.000	16.500	24.000	24.000	-2.400e+01	-1.286e-10	1.866e+11	-2.400e+01	-2.305e-09	1.041e+10
52.189	24.000	16.400	24.000	24.000	-2.400e+01	-9.911e-11	2.422e+11	-2.400e+01	-2.341e-09	1.025e+10
52.910	24.000	16.300	24.000	24.000	-2.400e+01	-1.716e-10	1.399e+11	-2.400e+01	-2.380e-09	1.008e+10
53.712	24.000	16.200	24.000	24.000	-2.400e+01	-1.128e-10	2.129e+11	-2.400e+01	-2.308e-09	1.040e+10
54.460	24.000	16.100	24.000	24.000	-2.400e+01	-1.429e-10	1.680e+11	-2.400e+01	-2.331e-09	1.030e+10
55.213	24.000	16.000	24.000	24.000	-2.400e+01	-9.978e-11	2.405e+11	-2.400e+01	-2.286e-09	1.050e+10
55.963	24.000	15.900	24.000	24.000	-2.400e+01	-7.891e-11	3.041e+11	-2.400e+01	-2.319e-09	1.035e+10
56.700	24.000	15.800	24.000	24.000	-2.400e+01	-1.543e-10	1.556e+11	-2.400e+01	-2.303e-09	1.042e+10
57.440	24.000	15.700	24.000	24.000	-2.400e+01	-1.523e-10	1.576e+11	-2.400e+01	-2.369e-09	1.013e+10
58.180	24.000	15.600	24.000	24.000	-2.400e+01	-7.975e-11	3.009e+11	-2.400e+01	-2.315e-09	1.037e+10
58.899	24.000	15.500	24.000	24.000	-2.400e+01	-1.017e-10	2.360e+11	-2.400e+01	-2.344e-09	1.024e+10
59.633	24.000	15.400	24.000	24.000	-2.400e+01	-1.085e-10	2.212e+11	-2.400e+01	-2.358e-09	1.018e+10
60.369	24.000	15.300	24.000	24.000	-2.400e+01	-9.137e-11	2.627e+11	-2.400e+01	-2.336e-09	1.028e+10
61.109	24.000	15.200	24.000	24.000	-2.400e+01	-1.224e-10	1.961e+11	-2.400e+01	-2.283e-09	1.051e+10
61.850	24.000	15.100	24.000	24.000	-2.400e+01	-1.468e-10	1.634e+11	-2.400e+01	-2.360e-09	1.017e+10
62.591	24.000	15.000	24.000	24.000	-2.400e+01	-1.600e-10	1.500e+11	-2.400e+01	-2.306e-09	1.041e+10
63.330	24.000	14.900	24.000	24.000	-2.400e+01	-1.082e-10	2.218e+11	-2.400e+01	-2.323e-09	1.033e+10
64.050	24.000	14.800	24.000	24.000	-2.400e+01	-1.439e-10	1.668e+11	-2.400e+01	-2.334e-09	1.028e+10
64.789	24.000	14.700	24.000	24.000	-2.400e+01	-1.172e-10	2.049e+11	-2.400e+01	-2.380e-09	1.009e+10
65.549	24.000	14.600	24.000	24.000	-2.400e+01	-7.890e-11	3.042e+11	-2.400e+01	-2.355e-09	1.019e+10
