time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2	TH2690A_1.VOLT	TH2690A_1.CURR
0.153	21.000	-20.000	21.000	21.000	-2.400e+01	-6.343e-09	3.784e+09	-2.400e+01	-2.203e-09	1.090e+10	2.190e+01	-3.788e-08
0.972	21.000	-19.900	21.000	21.000	-2.400e+01	-6.425e-09	3.736e+09	-2.400e+01	-2.225e-09	1.079e+10	2.190e+01	-3.788e-08
1.745	21.000	-19.800	21.000	21.000	-2.400e+01	-6.393e-09	3.754e+09	-2.400e+01	-2.203e-09	1.089e+10	2.190e+01	-3.787e-08
2.456	21.000	-19.700	21.000	21.000	-2.400e+01	-6.395e-09	3.753e+09	-2.400e+01	-2.228e-09	1.077e+10	2.190e+01	-3.772e-08
3.153	21.000	-19.600	21.000	21.000	-2.400e+01	-6.387e-09	3.757e+09	-2.400e+01	-2.245e-09	1.069e+10	2.190e+01	-3.769e-08
3.873	21.000	-19.500	21.000	21.000	-2.400e+01	-6.372e-09	3.767e+09	-2.400e+01	-2.253e-09	1.065e+10	2.190e+01	-3.754e-08
4.594	21.000	-19.400	21.000	21.000	-2.400e+01	-6.353e-09	3.778e+09	-2.400e+01	-2.200e-09	1.091e+10	2.190e+01	-3.751e-08
5.313	21.000	-19.300	21.000	21.000	-2.400e+01	-6.343e-09	3.784e+09	-2.400e+01	-2.217e-09	1.083e+10	2.190e+01	-3.737e-08
6.033	21.000	-19.200	21.000	21.000	-2.400e+01	-6.420e-09	3.739e+09	-2.400e+01	-2.181e-09	1.100e+10	2.190e+01	-3.735e-08
6.752	21.000	-19.100	21.000	21.000	-2.400e+01	-6.401e-09	3.750e+09	-2.400e+01	-2.234e-09	1.074e+10	2.190e+01	-3.723e-08
7.464	21.000	-19.000	21.000	21.000	-2.400e+01	-6.434e-09	3.730e+09	-2.400e+01	-2.200e-09	1.091e+10	2.190e+01	-3.720e-08
8.177	21.000	-18.900	21.000	21.000	-2.400e+01	-6.437e-09	3.728e+09	-2.400e+01	-2.205e-09	1.088e+10	2.190e+01	-3.708e-08
8.913	21.000	-18.800	21.000	21.000	-2.400e+01	-6.410e-09	3.744e+09	-2.400e+01	-2.234e-09	1.074e+10	2.190e+01	-3.705e-08
9.636	21.000	-18.700	21.000	21.000	-2.400e+01	-6.398e-09	3.751e+09	-2.400e+01	-2.237e-09	1.073e+10	2.190e+01	-3.692e-08
10.366	21.000	-18.600	21.000	21.000	-2.400e+01	-6.397e-09	3.752e+09	-2.400e+01	-2.242e-09	1.070e+10	2.190e+01	-3.692e-08
11.103	21.000	-18.500	21.000	21.000	-2.400e+01	-6.427e-09	3.734e+09	-2.400e+01	-2.206e-09	1.088e+10	2.190e+01	-3.688e-08
11.842	21.000	-18.400	21.000	21.000	-2.400e+01	-6.401e-09	3.750e+09	-2.400e+01	-2.163e-09	1.109e+10	2.190e+01	-3.675e-08
12.584	21.000	-18.300	21.000	21.000	-2.400e+01	-6.391e-09	3.755e+09	-2.400e+01	-2.215e-09	1.084e+10	2.190e+01	-3.673e-08
13.322	21.000	-18.200	21.000	21.000	-2.400e+01	-6.426e-09	3.735e+09	-2.400e+01	-2.239e-09	1.072e+10	2.190e+01	-3.658e-08
14.073	21.000	-18.100	21.000	21.000	-2.400e+01	-6.437e-09	3.729e+09	-2.400e+01	-2.226e-09	1.078e+10	2.190e+01	-3.655e-08
14.813	21.000	-18.000	21.000	21.000	-2.400e+01	-6.427e-09	3.734e+09	-2.400e+01	-2.209e-09	1.087e+10	2.190e+01	-3.652e-08
15.543	21.000	-17.900	21.000	21.000	-2.400e+01	-6.444e-09	3.725e+09	-2.400e+01	-2.199e-09	1.092e+10	2.190e+01	-3.637e-08
16.287	21.000	-17.800	21.000	21.000	-2.400e+01	-6.517e-09	3.683e+09	-2.400e+01	-2.213e-09	1.085e+10	2.190e+01	-3.634e-08
17.037	21.000	-17.700	21.000	21.000	-2.400e+01	-6.447e-09	3.722e+09	-2.400e+01	-2.184e-09	1.099e+10	2.190e+01	-3.621e-08
17.783	21.000	-17.600	21.000	21.000	-2.400e+01	-6.499e-09	3.693e+09	-2.400e+01	-2.195e-09	1.094e+10	2.190e+01	-3.618e-08
18.542	21.000	-17.500	21.000	21.000	-2.400e+01	-6.431e-09	3.732e+09	-2.400e+01	-2.174e-09	1.104e+10	2.190e+01	-3.605e-08
19.283	21.000	-17.400	21.000	21.000	-2.400e+01	-6.468e-09	3.711e+09	-2.400e+01	-2.219e-09	1.081e+10	2.190e+01	-3.604e-08
20.023	21.000	-17.300	21.000	21.000	-2.400e+01	-6.499e-09	3.693e+09	-2.400e+01	-2.253e-09	1.065e+10	2.190e+01	-3.592e-08
20.756	21.000	-17.200	21.000	21.000	-2.400e+01	-6.494e-09	3.696e+09	-2.400e+01	-2.218e-09	1.082e+10	2.190e+01	-3.590e-08
21.493	21.000	-17.100	21.000	21.000	-2.400e+01	-6.542e-09	3.668e+09	-2.400e+01	-2.171e-09	1.105e+10	2.190e+01	-3.587e-08
22.233	21.000	-17.000	21.000	21.000	-2.400e+01	-6.566e-09	3.655e+09	-2.400e+01	-2.161e-09	1.110e+10	2.190e+01	-3.573e-08
22.973	21.000	-16.900	21.000	21.000	-2.400e+01	-6.641e-09	3.614e+09	-2.400e+01	-2.202e-09	1.090e+10	2.190e+01	-3.570e-08
23.713	21.000	-16.800	21.000	21.000	-2.400e+01	-6.663e-09	3.602e+09	-2.400e+01	-2.199e-09	1.092e+10	2.190e+01	-3.554e-08
