time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2
0.135	24.000	-20.000	24.000	24.000	-2.400e+01	-2.092e-09	1.147e+10	-2.400e+01	-1.372e-09	1.750e+10
0.951	24.000	-19.900	24.000	24.000	-2.400e+01	-2.150e-09	1.116e+10	-2.400e+01	-1.363e-09	1.761e+10
1.660	24.000	-19.800	24.000	24.000	-2.400e+01	-2.172e-09	1.105e+10	-2.400e+01	-1.342e-09	1.788e+10
2.364	24.000	-19.700	24.000	24.000	-2.400e+01	-2.243e-09	1.070e+10	-2.400e+01	-1.344e-09	1.786e+10
3.065	24.000	-19.600	24.000	24.000	-2.400e+01	-2.245e-09	1.069e+10	-2.400e+01	-1.346e-09	1.783e+10
3.800	24.000	-19.500	24.000	24.000	-2.400e+01	-2.323e-09	1.033e+10	-2.400e+01	-1.371e-09	1.750e+10
4.520	24.000	-19.400	24.000	24.000	-2.400e+01	-2.420e-09	9.916e+09	-2.400e+01	-1.397e-09	1.718e+10
5.231	24.000	-19.300	24.000	24.000	-2.400e+01	-2.511e-09	9.557e+09	-2.400e+01	-1.331e-09	1.803e+10
5.944	24.000	-19.200	24.000	24.000	-2.400e+01	-2.585e-09	9.283e+09	-2.400e+01	-1.330e-09	1.805e+10
6.670	24.000	-19.100	24.000	24.000	-2.400e+01	-2.742e-09	8.753e+09	-2.400e+01	-1.370e-09	1.752e+10
7.394	24.000	-19.000	24.000	24.000	-2.400e+01	-2.880e-09	8.333e+09	-2.400e+01	-1.373e-09	1.748e+10
8.120	24.000	-18.900	24.000	24.000	-2.400e+01	-3.115e-09	7.706e+09	-2.400e+01	-1.366e-09	1.756e+10
8.870	24.000	-18.800	24.000	24.000	-2.400e+01	-3.306e-09	7.260e+09	-2.400e+01	-1.353e-09	1.774e+10
9.591	24.000	-18.700	24.000	24.000	-2.400e+01	-3.622e-09	6.627e+09	-2.400e+01	-1.339e-09	1.793e+10
10.331	24.000	-18.600	24.000	24.000	-2.400e+01	-4.015e-09	5.978e+09	-2.400e+01	-1.350e-09	1.777e+10
11.071	24.000	-18.500	24.000	24.000	-2.400e+01	-4.388e-09	5.469e+09	-2.400e+01	-1.430e-09	1.679e+10
11.831	24.000	-18.400	24.000	24.000	-2.400e+01	-4.997e-09	4.802e+09	-2.400e+01	-1.363e-09	1.760e+10
12.571	24.000	-18.300	24.000	24.000	-2.400e+01	-5.659e-09	4.241e+09	-2.400e+01	-1.388e-09	1.729e+10
