time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2	TH2690A_1.VOLT	TH2690A_1.CURR
6.535	15.000	21.000	21.000	21.000	-2.400e+01	-1.115e-09	2.153e+10	-2.400e+01	-2.971e-07	8.079e+07	2.190e+01	-4.488e-07
7.385	14.900	21.000	21.000	21.000	-2.400e+01	-1.163e-09	2.063e+10	-2.400e+01	-3.060e-07	7.843e+07	2.190e+01	-4.489e-07
8.093	14.800	21.000	21.000	21.000	-2.400e+01	-1.205e-09	1.991e+10	-2.400e+01	-3.108e-07	7.721e+07	2.190e+01	-4.489e-07
8.804	14.700	21.000	21.000	21.000	-2.400e+01	-1.226e-09	1.958e+10	-2.400e+01	-3.138e-07	7.648e+07	2.190e+01	-4.489e-07
9.515	14.600	21.000	21.000	21.000	-2.400e+01	-1.288e-09	1.864e+10	-2.400e+01	-3.151e-07	7.617e+07	2.190e+01	-4.489e-07
10.223	14.500	21.000	21.000	21.000	-2.400e+01	-1.337e-09	1.795e+10	-2.400e+01	-3.157e-07	7.603e+07	2.190e+01	-4.488e-07
10.934	14.400	21.000	21.000	21.000	-2.400e+01	-1.353e-09	1.773e+10	-2.400e+01	-3.163e-07	7.588e+07	2.190e+01	-4.488e-07
11.653	14.300	21.000	21.000	21.000	-2.400e+01	-1.319e-09	1.819e+10	-2.400e+01	-3.175e-07	7.558e+07	2.190e+01	-4.488e-07
12.385	14.200	21.000	21.000	21.000	-2.400e+01	-1.388e-09	1.729e+10	-2.400e+01	-3.201e-07	7.497e+07	2.190e+01	-4.487e-07
13.103	14.100	21.000	21.000	21.000	-2.400e+01	-1.438e-09	1.668e+10	-2.400e+01	-3.239e-07	7.409e+07	2.190e+01	-4.487e-07
13.814	14.000	21.000	21.000	21.000	-2.400e+01	-1.450e-09	1.655e+10	-2.400e+01	-3.287e-07	7.301e+07	2.190e+01	-4.486e-07
14.546	13.900	21.000	21.000	21.000	-2.400e+01	-1.500e-09	1.600e+10	-2.400e+01	-3.347e-07	7.171e+07	2.190e+01	-4.486e-07
15.274	13.800	21.000	21.000	21.000	-2.400e+01	-1.577e-09	1.522e+10	-2.400e+01	-3.410e-07	7.037e+07	2.190e+01	-4.485e-07
16.004	13.700	21.000	21.000	21.000	-2.400e+01	-1.580e-09	1.519e+10	-2.400e+01	-3.477e-07	6.902e+07	2.190e+01	-4.485e-07
16.743	13.600	21.000	21.000	21.000	-2.400e+01	-1.610e-09	1.491e+10	-2.400e+01	-3.547e-07	6.767e+07	2.190e+01	-4.485e-07
17.504	13.500	21.000	21.000	21.000	-2.400e+01	-1.671e-09	1.436e+10	-2.400e+01	-3.618e-07	6.634e+07	2.190e+01	-4.485e-07
18.301	13.400	21.000	21.000	21.000	-2.400e+01	-1.722e-09	1.394e+10	-2.400e+01	-3.688e-07	6.507e+07	2.190e+01	-4.484e-07
19.028	13.300	21.000	21.000	21.000	-2.400e+01	-1.738e-09	1.381e+10	-2.400e+01	-3.756e-07	6.390e+07	2.190e+01	-4.484e-07
19.774	13.200	21.000	21.000	21.000	-2.400e+01	-1.761e-09	1.363e+10	-2.400e+01	-3.823e-07	6.278e+07	2.190e+01	-4.484e-07
20.515	13.100	21.000	21.000	21.000	-2.400e+01	-1.820e-09	1.319e+10	-2.400e+01	-3.887e-07	6.174e+07	2.190e+01	-4.483e-07
21.254	13.000	21.000	21.000	21.000	-2.400e+01	-1.877e-09	1.278e+10	-2.400e+01	-3.955e-07	6.068e+07	2.190e+01	-4.483e-07
21.994	12.900	21.000	21.000	21.000	-2.400e+01	-1.922e-09	1.249e+10	-2.400e+01	-4.024e-07	5.965e+07	2.190e+01	-4.482e-07
22.734	12.800	21.000	21.000	21.000	-2.400e+01	-1.973e-09	1.216e+10	-2.400e+01	-4.092e-07	5.865e+07	2.190e+01	-4.482e-07
23.484	12.700	21.000	21.000	21.000	-2.400e+01	-2.065e-09	1.162e+10	-2.400e+01	-4.156e-07	5.774e+07	2.190e+01	-4.481e-07
