time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2
9.709	15.000	24.000	24.000	24.000	-2.400e+01	-1.336e-10	1.797e+11	-2.400e+01	-1.297e-07	1.851e+08
10.609	14.900	24.000	24.000	24.000	-2.400e+01	-1.853e-10	1.295e+11	-2.400e+01	-1.323e-07	1.814e+08
11.312	14.800	24.000	24.000	24.000	-2.400e+01	-1.888e-10	1.271e+11	-2.400e+01	-1.350e-07	1.778e+08
12.028	14.700	24.000	24.000	24.000	-2.400e+01	-2.065e-10	1.162e+11	-2.400e+01	-1.378e-07	1.742e+08
12.749	14.600	24.000	24.000	24.000	-2.400e+01	-2.501e-10	9.596e+10	-2.400e+01	-1.406e-07	1.707e+08
13.458	14.500	24.000	24.000	24.000	-2.400e+01	-2.245e-10	1.069e+11	-2.400e+01	-1.438e-07	1.669e+08
14.178	14.400	24.000	24.000	24.000	-2.400e+01	-3.084e-10	7.782e+10	-2.400e+01	-1.465e-07	1.638e+08
14.898	14.300	24.000	24.000	24.000	-2.400e+01	-2.815e-10	8.527e+10	-2.400e+01	-1.494e-07	1.606e+08
15.638	14.200	24.000	24.000	24.000	-2.400e+01	-3.331e-10	7.206e+10	-2.400e+01	-1.523e-07	1.576e+08
16.359	14.100	24.000	24.000	24.000	-2.400e+01	-3.753e-10	6.395e+10	-2.400e+01	-1.551e-07	1.547e+08
17.082	14.000	24.000	24.000	24.000	-2.400e+01	-3.755e-10	6.392e+10	-2.400e+01	-1.579e-07	1.520e+08
17.809	13.900	24.000	24.000	24.000	-2.400e+01	-3.918e-10	6.126e+10	-2.400e+01	-1.605e-07	1.495e+08
18.549	13.800	24.000	24.000	24.000	-2.400e+01	-3.657e-10	6.563e+10	-2.400e+01	-1.635e-07	1.468e+08
