time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2	TH2690A_1.VOLT	TH2690A_1.CURR
0.174	-15.000	21.000	21.000	21.000	-2.400e+01	-1.780e-07	1.349e+08	-2.400e+01	-4.790e-07	5.011e+07	2.190e+01	-4.444e-08
0.992	-14.900	21.000	21.000	21.000	-2.400e+01	-1.774e-07	1.353e+08	-2.400e+01	-4.870e-07	4.929e+07	2.190e+01	-4.444e-08
1.683	-14.800	21.000	21.000	21.000	-2.400e+01	-1.768e-07	1.357e+08	-2.400e+01	-4.955e-07	4.843e+07	2.190e+01	-4.457e-08
2.393	-14.700	21.000	21.000	21.000	-2.400e+01	-1.763e-07	1.361e+08	-2.400e+01	-5.039e-07	4.763e+07	2.190e+01	-4.460e-08
3.103	-14.600	21.000	21.000	21.000	-2.400e+01	-1.757e-07	1.366e+08	-2.400e+01	-5.123e-07	4.685e+07	2.190e+01	-4.464e-08
3.813	-14.500	21.000	21.000	21.000	-2.400e+01	-1.751e-07	1.370e+08	-2.400e+01	-5.206e-07	4.610e+07	2.190e+01	-4.481e-08
4.532	-14.400	21.000	21.000	21.000	-2.400e+01	-1.745e-07	1.375e+08	-2.400e+01	-5.293e-07	4.534e+07	2.190e+01	-4.483e-08
5.254	-14.300	21.000	21.000	21.000	-2.400e+01	-1.740e-07	1.380e+08	-2.400e+01	-5.377e-07	4.463e+07	2.190e+01	-4.497e-08
5.973	-14.200	21.000	21.000	21.000	-2.400e+01	-1.734e-07	1.384e+08	-2.400e+01	-5.464e-07	4.393e+07	2.190e+01	-4.501e-08
6.693	-14.100	21.000	21.000	21.000	-2.400e+01	-1.728e-07	1.389e+08	-2.400e+01	-5.545e-07	4.328e+07	2.190e+01	-4.515e-08
7.413	-14.000	21.000	21.000	21.000	-2.400e+01	-1.722e-07	1.394e+08	-2.400e+01	-5.635e-07	4.259e+07	2.190e+01	-4.518e-08
8.142	-13.900	21.000	21.000	21.000	-2.400e+01	-1.715e-07	1.399e+08	-2.400e+01	-5.722e-07	4.195e+07	2.190e+01	-4.530e-08
8.853	-13.800	21.000	21.000	21.000	-2.400e+01	-1.709e-07	1.404e+08	-2.400e+01	-5.811e-07	4.130e+07	2.190e+01	-4.534e-08
9.583	-13.700	21.000	21.000	21.000	-2.400e+01	-1.704e-07	1.409e+08	-2.400e+01	-5.896e-07	4.071e+07	2.190e+01	-4.548e-08
10.313	-13.600	21.000	21.000	21.000	-2.400e+01	-1.697e-07	1.414e+08	-2.400e+01	-5.989e-07	4.008e+07	2.190e+01	-4.550e-08
11.043	-13.500	21.000	21.000	21.000	-2.400e+01	-1.691e-07	1.419e+08	-2.400e+01	-6.083e-07	3.946e+07	2.190e+01	-4.564e-08
11.773	-13.400	21.000	21.000	21.000	-2.400e+01	-1.685e-07	1.425e+08	-2.400e+01	-6.171e-07	3.889e+07	2.190e+01	-4.568e-08
