time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2
0.149	-15.000	24.000	24.000	24.000	-2.400e+01	6.054e-10	-3.964e+10	-2.400e+01	-9.083e-10	2.642e+10
1.368	-14.900	24.000	24.000	24.000	-2.400e+01	5.425e-10	-4.424e+10	-2.400e+01	-9.795e-10	2.450e+10
2.072	-14.800	24.000	24.000	24.000	-2.400e+01	5.399e-10	-4.446e+10	-2.400e+01	-9.409e-10	2.551e+10
2.778	-14.700	24.000	24.000	24.000	-2.400e+01	5.367e-10	-4.472e+10	-2.400e+01	-9.712e-10	2.471e+10
3.469	-14.600	24.000	24.000	24.000	-2.400e+01	5.235e-10	-4.585e+10	-2.400e+01	-1.002e-09	2.395e+10
4.172	-14.500	24.000	24.000	24.000	-2.400e+01	5.260e-10	-4.563e+10	-2.400e+01	-9.871e-10	2.431e+10
4.908	-14.400	24.000	24.000	24.000	-2.400e+01	5.042e-10	-4.760e+10	-2.400e+01	-9.742e-10	2.464e+10
5.622	-14.300	24.000	24.000	24.000	-2.400e+01	5.071e-10	-4.733e+10	-2.400e+01	-9.835e-10	2.440e+10
6.339	-14.200	24.000	24.000	24.000	-2.400e+01	5.546e-10	-4.327e+10	-2.400e+01	-9.790e-10	2.452e+10
7.052	-14.100	24.000	24.000	24.000	-2.400e+01	6.020e-10	-3.987e+10	-2.400e+01	-9.746e-10	2.463e+10
7.779	-14.000	24.000	24.000	24.000	-2.400e+01	5.446e-10	-4.407e+10	-2.400e+01	-9.599e-10	2.500e+10
8.499	-13.900	24.000	24.000	24.000	-2.400e+01	5.704e-10	-4.208e+10	-2.400e+01	-9.403e-10	2.552e+10
9.222	-13.800	24.000	24.000	24.000	-2.400e+01	4.948e-10	-4.851e+10	-2.400e+01	-9.477e-10	2.532e+10
9.950	-13.700	24.000	24.000	24.000	-2.400e+01	5.116e-10	-4.691e+10	-2.400e+01	-9.833e-10	2.441e+10
10.672	-13.600	24.000	24.000	24.000	-2.400e+01	4.922e-10	-4.876e+10	-2.400e+01	-9.863e-10	2.433e+10
11.402	-13.500	24.000	24.000	24.000	-2.400e+01	5.250e-10	-4.572e+10	-2.400e+01	-9.816e-10	2.445e+10
12.139	-13.400	24.000	24.000	24.000	-2.400e+01	5.510e-10	-4.356e+10	-2.400e+01	-9.485e-10	2.530e+10
12.899	-13.300	24.000	24.000	24.000	-2.400e+01	5.231e-10	-4.588e+10	-2.400e+01	-9.748e-10	2.462e+10
13.639	-13.200	24.000	24.000	24.000	-2.400e+01	5.695e-10	-4.214e+10	-2.400e+01	-9.938e-10	2.415e+10
14.379	-13.100	24.000	24.000	24.000	-2.400e+01	5.411e-10	-4.435e+10	-2.400e+01	-9.760e-10	2.459e+10
15.189	-13.000	24.000	24.000	24.000	-2.400e+01	5.500e-10	-4.363e+10	-2.400e+01	-9.903e-10	2.424e+10
15.931	-12.900	24.000	24.000	24.000	-2.400e+01	5.081e-10	-4.723e+10	-2.400e+01	-9.589e-10	2.503e+10
16.669	-12.800	24.000	24.000	24.000	-2.400e+01	5.178e-10	-4.635e+10	-2.400e+01	-9.827e-10	2.442e+10
17.409	-12.700	24.000	24.000	24.000	-2.400e+01	5.348e-10	-4.488e+10	-2.400e+01	-9.787e-10	2.452e+10
18.149	-12.600	24.000	24.000	24.000	-2.400e+01	5.087e-10	-4.718e+10	-2.400e+01	-9.858e-10	2.435e+10
18.909	-12.500	24.000	24.000	24.000	-2.400e+01	5.351e-10	-4.485e+10	-2.400e+01	-9.430e-10	2.545e+10
19.642	-12.400	24.000	24.000	24.000	-2.400e+01	5.219e-10	-4.599e+10	-2.400e+01	-9.482e-10	2.531e+10
20.441	-12.300	24.000	24.000	24.000	-2.400e+01	5.377e-10	-4.463e+10	-2.400e+01	-9.693e-10	2.476e+10
21.180	-12.200	24.000	24.000	24.000	-2.400e+01	5.724e-10	-4.193e+10	-2.400e+01	-9.247e-10	2.595e+10
