time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2	TH2690A_1.VOLT	TH2690A_1.CURR
6.539	21.000	21.000	20.000	21.000	-2.400e+01	-1.485e-09	1.616e+10	-2.400e+01	-8.216e-09	2.921e+09	2.190e+01	-4.432e-07
7.379	21.000	21.000	19.900	21.000	-2.400e+01	-1.502e-09	1.598e+10	-2.400e+01	-8.233e-09	2.915e+09	2.190e+01	-4.432e-07
8.088	21.000	21.000	19.800	21.000	-2.400e+01	-1.482e-09	1.620e+10	-2.400e+01	-8.252e-09	2.908e+09	2.190e+01	-4.433e-07
8.798	21.000	21.000	19.700	21.000	-2.400e+01	-1.449e-09	1.656e+10	-2.400e+01	-8.220e-09	2.920e+09	2.190e+01	-4.433e-07
9.509	21.000	21.000	19.600	21.000	-2.400e+01	-1.465e-09	1.638e+10	-2.400e+01	-8.177e-09	2.935e+09	2.190e+01	-4.433e-07
10.268	21.000	21.000	19.500	21.000	-2.400e+01	-1.490e-09	1.611e+10	-2.400e+01	-8.222e-09	2.919e+09	2.190e+01	-4.433e-07
10.990	21.000	21.000	19.400	21.000	-2.400e+01	-1.481e-09	1.621e+10	-2.400e+01	-8.262e-09	2.905e+09	2.190e+01	-4.432e-07
11.708	21.000	21.000	19.300	21.000	-2.400e+01	-1.494e-09	1.606e+10	-2.400e+01	-8.210e-09	2.923e+09	2.190e+01	-4.432e-07
12.429	21.000	21.000	19.200	21.000	-2.400e+01	-1.474e-09	1.628e+10	-2.400e+01	-8.209e-09	2.924e+09	2.190e+01	-4.432e-07
13.148	21.000	21.000	19.100	21.000	-2.400e+01	-1.493e-09	1.608e+10	-2.400e+01	-8.188e-09	2.931e+09	2.190e+01	-4.432e-07
13.898	21.000	21.000	19.000	21.000	-2.400e+01	-1.500e-09	1.600e+10	-2.400e+01	-8.232e-09	2.916e+09	2.190e+01	-4.432e-07
14.622	21.000	21.000	18.900	21.000	-2.400e+01	-1.507e-09	1.593e+10	-2.400e+01	-8.255e-09	2.907e+09	2.190e+01	-4.432e-07
15.342	21.000	21.000	18.800	21.000	-2.400e+01	-1.509e-09	1.591e+10	-2.400e+01	-8.244e-09	2.911e+09	2.190e+01	-4.432e-07
16.062	21.000	21.000	18.700	21.000	-2.400e+01	-1.518e-09	1.581e+10	-2.400e+01	-8.241e-09	2.912e+09	2.190e+01	-4.432e-07
16.859	21.000	21.000	18.600	21.000	-2.400e+01	-1.498e-09	1.603e+10	-2.400e+01	-8.248e-09	2.910e+09	2.190e+01	-4.432e-07
17.599	21.000	21.000	18.500	21.000	-2.400e+01	-1.501e-09	1.599e+10	-2.400e+01	-8.266e-09	2.903e+09	2.190e+01	-4.432e-07
18.339	21.000	21.000	18.400	21.000	-2.400e+01	-1.512e-09	1.587e+10	-2.400e+01	-8.270e-09	2.902e+09	2.190e+01	-4.432e-07
19.089	21.000	21.000	18.300	21.000	-2.400e+01	-1.546e-09	1.552e+10	-2.400e+01	-8.268e-09	2.903e+09	2.190e+01	-4.432e-07
19.850	21.000	21.000	18.200	21.000	-2.400e+01	-1.525e-09	1.574e+10	-2.400e+01	-8.287e-09	2.896e+09	2.190e+01	-4.432e-07
20.762	21.000	21.000	18.100	21.000	-2.400e+01	-1.520e-09	1.579e+10	-2.400e+01	-8.227e-09	2.917e+09	2.190e+01	-4.432e-07
21.499	21.000	21.000	18.000	21.000	-2.400e+01	-1.514e-09	1.585e+10	-2.400e+01	-8.250e-09	2.909e+09	2.190e+01	-4.432e-07
22.219	21.000	21.000	17.900	21.000	-2.400e+01	-1.523e-09	1.576e+10	-2.400e+01	-8.211e-09	2.923e+09	2.190e+01	-4.432e-07
22.970	21.000	21.000	17.800	21.000	-2.400e+01	-1.504e-09	1.595e+10	-2.400e+01	-8.258e-09	2.906e+09	2.190e+01	-4.431e-07
23.708	21.000	21.000	17.700	21.000	-2.400e+01	-1.553e-09	1.545e+10	-2.400e+01	-8.274e-09	2.901e+09	2.190e+01	-4.431e-07
24.449	21.000	21.000	17.600	21.000	-2.400e+01	-1.541e-09	1.558e+10	-2.400e+01	-8.282e-09	2.898e+09	2.190e+01	-4.431e-07
25.199	21.000	21.000	17.500	21.000	-2.400e+01	-1.573e-09	1.526e+10	-2.400e+01	-8.257e-09	2.907e+09	2.190e+01	-4.431e-07
25.951	21.000	21.000	17.400	21.000	-2.400e+01	-1.572e-09	1.526e+10	-2.400e+01	-8.235e-09	2.914e+09	2.190e+01	-4.431e-07
26.689	21.000	21.000	17.300	21.000	-2.400e+01	-1.589e-09	1.510e+10	-2.400e+01	-8.260e-09	2.905e+09	2.190e+01	-4.431e-07
27.478	21.000	21.000	17.200	21.000	-2.400e+01	-1.634e-09	1.469e+10	-2.400e+01	-8.222e-09	2.919e+09	2.190e+01	-4.431e-07
28.219	21.000	21.000	17.100	21.000	-2.400e+01	-1.642e-09	1.462e+10	-2.400e+01	-8.257e-09	2.907e+09	2.190e+01	-4.431e-07
28.970	21.000	21.000	17.000	21.000	-2.400e+01	-1.677e-09	1.431e+10	-2.400e+01	-8.244e-09	2.911e+09	2.190e+01	-4.430e-07
29.702	21.000	21.000	16.900	21.000	-2.400e+01	-1.658e-09	1.448e+10	-2.400e+01	-8.246e-09	2.910e+09	2.190e+01	-4.430e-07
30.439	21.000	21.000	16.800	21.000	-2.400e+01	-1.750e-09	1.372e+10	-2.400e+01	-8.257e-09	2.907e+09	2.190e+01	-4.430e-07
31.179	21.000	21.000	16.700	21.000	-2.400e+01	-1.746e-09	1.375e+10	-2.400e+01	-8.199e-09	2.927e+09	2.190e+01	-4.430e-07
31.939	21.000	21.000	16.600	21.000	-2.400e+01	-1.787e-09	1.343e+10	-2.400e+01	-8.217e-09	2.921e+09	2.190e+01	-4.430e-07
32.678	21.000	21.000	16.500	21.000	-2.400e+01	-1.827e-09	1.314e+10	-2.400e+01	-8.194e-09	2.929e+09	2.190e+01	-4.430e-07
33.429	21.000	21.000	16.400	21.000	-2.400e+01	-1.862e-09	1.289e+10	-2.400e+01	-8.221e-09	2.919e+09	2.190e+01	-4.430e-07
34.168	21.000	21.000	16.300	21.000	-2.400e+01	-1.917e-09	1.252e+10	-2.400e+01	-8.233e-09	2.915e+09	2.190e+01	-4.430e-07
34.930	21.000	21.000	16.200	21.000	-2.400e+01	-2.030e-09	1.182e+10	-2.400e+01	-8.220e-09	2.920e+09	2.190e+01	-4.429e-07
35.669	21.000	21.000	16.100	21.000	-2.400e+01	-2.109e-09	1.138e+10	-2.400e+01	-8.275e-09	2.900e+09	2.190e+01	-4.429e-07
36.409	21.000	21.000	16.000	21.000	-2.400e+01	-2.272e-09	1.056e+10	-2.400e+01	-8.232e-09	2.915e+09	2.190e+01	-4.429e-07
37.130	21.000	21.000	15.900	21.000	-2.400e+01	-2.409e-09	9.963e+09	-2.400e+01	-8.219e-09	2.920e+09	2.190e+01	-4.429e-07
37.862	21.000	21.000	15.800	21.000	-2.400e+01	-2.617e-09	9.171e+09	-2.400e+01	-8.215e-09	2.922e+09	2.190e+01	-4.429e-07
38.592	21.000	21.000	15.700	21.000	-2.400e+01	-2.851e-09	8.419e+09	-2.400e+01	-8.215e-09	2.922e+09	2.190e+01	-4.429e-07
39.328	21.000	21.000	15.600	21.000	-2.400e+01	-3.023e-09	7.938e+09	-2.400e+01	-8.191e-09	2.930e+09	2.190e+01	-4.429e-07
40.069	21.000	21.000	15.500	21.000	-2.400e+01	-3.469e-09	6.918e+09	-2.400e+01	-8.184e-09	2.932e+09	2.190e+01	-4.429e-07
40.810	21.000	21.000	15.400	21.000	-2.400e+01	-3.954e-09	6.070e+09	-2.400e+01	-8.178e-09	2.935e+09	2.190e+01	-4.428e-07
41.549	21.000	21.000	15.300	21.000	-2.400e+01	-4.497e-09	5.337e+09	-2.400e+01	-8.163e-09	2.940e+09	2.190e+01	-4.428e-07
42.289	21.000	21.000	15.200	21.000	-2.400e+01	-5.131e-09	4.677e+09	-2.400e+01	-8.184e-09	2.933e+09	2.190e+01	-4.428e-07
43.030	21.000	21.000	15.100	21.000	-2.400e+01	-5.832e-09	4.115e+09	-2.400e+01	-8.139e-09	2.949e+09	2.190e+01	-4.428e-07
43.769	21.000	21.000	15.000	21.000	-2.400e+01	-6.694e-09	3.585e+09	-2.400e+01	-8.154e-09	2.943e+09	2.190e+01	-4.428e-07
44.510	21.000	21.000	14.900	21.000	-2.400e+01	-7.694e-09	3.119e+09	-2.400e+01	-8.141e-09	2.948e+09	2.190e+01	-4.428e-07
45.259	21.000	21.000	14.800	21.000	-2.400e+01	-9.263e-09	2.591e+09	-2.400e+01	-8.109e-09	2.960e+09	2.190e+01	-4.428e-07
46.011	21.000	21.000	14.700	21.000	-2.400e+01	-1.059e-08	2.266e+09	-2.400e+01	-8.126e-09	2.954e+09	2.190e+01	-4.427e-07
46.802	21.000	21.000	14.600	21.000	-2.400e+01	-1.226e-08	1.958e+09	-2.400e+01	-8.155e-09	2.943e+09	2.190e+01	-4.427e-07
47.539	21.000	21.000	14.500	21.000	-2.400e+01	-1.471e-08	1.632e+09	-2.400e+01	-8.082e-09	2.969e+09	2.190e+01	-4.427e-07
48.279	21.000	21.000	14.400	21.000	-2.400e+01	-1.707e-08	1.406e+09	-2.400e+01	-8.078e-09	2.971e+09	2.190e+01	-4.427e-07
49.079	21.000	21.000	14.300	21.000	-2.400e+01	-1.950e-08	1.231e+09	-2.400e+01	-8.087e-09	2.968e+09	2.190e+01	-4.427e-07
49.819	21.000	21.000	14.200	21.000	-2.400e+01	-2.249e-08	1.067e+09	-2.400e+01	-8.015e-09	2.995e+09	2.190e+01	-4.426e-07
50.553	21.000	21.000	14.100	21.000	-2.400e+01	-2.569e-08	9.343e+08	-2.400e+01	-8.016e-09	2.994e+09	2.190e+01	-4.426e-07
51.283	21.000	21.000	14.000	21.000	-2.400e+01	-2.892e-08	8.298e+08	-2.400e+01	-8.011e-09	2.996e+09	2.190e+01	-4.426e-07
52.020	21.000	21.000	13.900	21.000	-2.400e+01	-3.240e-08	7.408e+08	-2.400e+01	-7.988e-09	3.005e+09	2.190e+01	-4.425e-07
52.741	21.000	21.000	13.800	21.000	-2.400e+01	-3.708e-08	6.472e+08	-2.400e+01	-7.996e-09	3.002e+09	2.190e+01	-4.425e-07
53.479	21.000	21.000	13.700	21.000	-2.400e+01	-4.155e-08	5.776e+08	-2.400e+01	-8.001e-09	3.000e+09	2.190e+01	-4.424e-07
54.219	21.000	21.000	13.600	21.000	-2.400e+01	-4.648e-08	5.164e+08	-2.400e+01	-7.981e-09	3.007e+09	2.190e+01	-4.423e-07
54.971	21.000	21.000	13.500	21.000	-2.400e+01	-5.163e-08	4.648e+08	-2.400e+01	-7.978e-09	3.008e+09	2.190e+01	-4.423e-07
55.709	21.000	21.000	13.400	21.000	-2.400e+01	-5.763e-08	4.165e+08	-2.400e+01	-7.921e-09	3.030e+09	2.190e+01	-4.422e-07
56.690	21.000	21.000	13.300	21.000	-2.400e+01	-6.436e-08	3.729e+08	-2.400e+01	-7.931e-09	3.026e+09	2.190e+01	-4.421e-07
57.669	21.000	21.000	13.200	21.000	-2.400e+01	-7.122e-08	3.370e+08	-2.400e+01	-7.900e-09	3.038e+09	2.190e+01	-4.420e-07
58.410	21.000	21.000	13.100	21.000	-2.400e+01	-7.847e-08	3.059e+08	-2.400e+01	-7.890e-09	3.042e+09	2.190e+01	-4.419e-07
