time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2	TH2690A_1.VOLT	TH2690A_1.CURR
7.240	21.000	21.000	21.000	15.000	-2.400e+01	-6.603e-09	3.635e+09	-2.400e+01	-4.702e-07	5.104e+07	2.190e+01	-4.342e-07
8.079	21.000	21.000	21.000	14.900	-2.400e+01	-6.904e-09	3.476e+09	-2.400e+01	-4.783e-07	5.018e+07	2.190e+01	-4.342e-07
8.790	21.000	21.000	21.000	14.800	-2.400e+01	-7.213e-09	3.327e+09	-2.400e+01	-4.866e-07	4.933e+07	2.190e+01	-4.343e-07
9.500	21.000	21.000	21.000	14.700	-2.400e+01	-7.557e-09	3.176e+09	-2.400e+01	-4.949e-07	4.849e+07	2.190e+01	-4.342e-07
10.221	21.000	21.000	21.000	14.600	-2.400e+01	-7.929e-09	3.027e+09	-2.400e+01	-5.030e-07	4.771e+07	2.190e+01	-4.341e-07
10.930	21.000	21.000	21.000	14.500	-2.400e+01	-8.309e-09	2.888e+09	-2.400e+01	-5.112e-07	4.695e+07	2.190e+01	-4.340e-07
11.650	21.000	21.000	21.000	14.400	-2.400e+01	-8.622e-09	2.784e+09	-2.400e+01	-5.191e-07	4.623e+07	2.190e+01	-4.340e-07
12.352	21.000	21.000	21.000	14.300	-2.400e+01	-9.009e-09	2.664e+09	-2.400e+01	-5.273e-07	4.552e+07	2.190e+01	-4.339e-07
13.080	21.000	21.000	21.000	14.200	-2.400e+01	-9.407e-09	2.551e+09	-2.400e+01	-5.359e-07	4.479e+07	2.190e+01	-4.338e-07
13.781	21.000	21.000	21.000	14.100	-2.400e+01	-9.794e-09	2.451e+09	-2.400e+01	-5.436e-07	4.415e+07	2.190e+01	-4.337e-07
14.500	21.000	21.000	21.000	14.000	-2.400e+01	-1.021e-08	2.351e+09	-2.400e+01	-5.519e-07	4.348e+07	2.190e+01	-4.336e-07
15.238	21.000	21.000	21.000	13.900	-2.400e+01	-1.063e-08	2.259e+09	-2.400e+01	-5.597e-07	4.288e+07	2.190e+01	-4.335e-07
