time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2	TH2690A_1.VOLT	TH2690A_1.CURR
0.158	21.000	21.000	21.000	-15.000	-2.400e+01	-7.657e-07	3.134e+07	-2.400e+01	-3.146e-07	7.630e+07	2.190e+01	-3.020e-08
2.489	21.000	21.000	21.000	-14.900	-2.400e+01	-7.638e-07	3.142e+07	-2.400e+01	-3.153e-07	7.611e+07	2.190e+01	-3.020e-08
3.197	21.000	21.000	21.000	-14.800	-2.400e+01	-7.617e-07	3.151e+07	-2.400e+01	-3.161e-07	7.591e+07	2.190e+01	-3.022e-08
3.918	21.000	21.000	21.000	-14.700	-2.400e+01	-7.598e-07	3.159e+07	-2.400e+01	-3.173e-07	7.564e+07	2.190e+01	-3.023e-08
4.627	21.000	21.000	21.000	-14.600	-2.400e+01	-7.584e-07	3.165e+07	-2.400e+01	-3.191e-07	7.521e+07	2.190e+01	-3.027e-08
5.338	21.000	21.000	21.000	-14.500	-2.400e+01	-7.563e-07	3.173e+07	-2.400e+01	-3.227e-07	7.437e+07	2.190e+01	-3.031e-08
6.058	21.000	21.000	21.000	-14.400	-2.400e+01	-7.543e-07	3.182e+07	-2.400e+01	-3.276e-07	7.327e+07	2.190e+01	-3.045e-08
6.768	21.000	21.000	21.000	-14.300	-2.400e+01	-7.523e-07	3.190e+07	-2.400e+01	-3.335e-07	7.197e+07	2.190e+01	-3.046e-08
7.499	21.000	21.000	21.000	-14.200	-2.400e+01	-7.502e-07	3.199e+07	-2.400e+01	-3.401e-07	7.057e+07	2.190e+01	-3.048e-08
8.217	21.000	21.000	21.000	-14.100	-2.400e+01	-7.486e-07	3.206e+07	-2.400e+01	-3.462e-07	6.933e+07	2.190e+01	-3.050e-08
8.948	21.000	21.000	21.000	-14.000	-2.400e+01	-7.464e-07	3.215e+07	-2.400e+01	-3.537e-07	6.786e+07	2.190e+01	-3.053e-08
9.698	21.000	21.000	21.000	-13.900	-2.400e+01	-7.443e-07	3.225e+07	-2.400e+01	-3.609e-07	6.649e+07	2.190e+01	-3.057e-08
10.447	21.000	21.000	21.000	-13.800	-2.400e+01	-7.425e-07	3.233e+07	-2.400e+01	-3.674e-07	6.532e+07	2.190e+01	-3.061e-08
11.188	21.000	21.000	21.000	-13.700	-2.400e+01	-7.405e-07	3.241e+07	-2.400e+01	-3.743e-07	6.412e+07	2.190e+01	-3.065e-08
11.908	21.000	21.000	21.000	-13.600	-2.400e+01	-7.385e-07	3.250e+07	-2.400e+01	-3.811e-07	6.297e+07	2.190e+01	-3.069e-08
12.642	21.000	21.000	21.000	-13.500	-2.400e+01	-7.366e-07	3.258e+07	-2.400e+01	-3.878e-07	6.189e+07	2.190e+01	-3.073e-08
13.402	21.000	21.000	21.000	-13.400	-2.400e+01	-7.344e-07	3.268e+07	-2.400e+01	-3.946e-07	6.082e+07	2.190e+01	-3.077e-08
14.148	21.000	21.000	21.000	-13.300	-2.400e+01	-7.325e-07	3.276e+07	-2.400e+01	-4.010e-07	5.985e+07	2.190e+01	-3.083e-08
14.898	21.000	21.000	21.000	-13.200	-2.400e+01	-7.302e-07	3.287e+07	-2.400e+01	-4.081e-07	5.881e+07	2.190e+01	-3.086e-08
15.638	21.000	21.000	21.000	-13.100	-2.400e+01	-7.281e-07	3.296e+07	-2.400e+01	-4.154e-07	5.778e+07	2.190e+01	-3.090e-08
16.378	21.000	21.000	21.000	-13.000	-2.400e+01	-7.262e-07	3.305e+07	-2.400e+01	-4.220e-07	5.687e+07	2.190e+01	-3.094e-08
17.118	21.000	21.000	21.000	-12.900	-2.400e+01	-7.238e-07	3.316e+07	-2.400e+01	-4.295e-07	5.588e+07	2.190e+01	-3.099e-08
17.858	21.000	21.000	21.000	-12.800	-2.400e+01	-7.215e-07	3.326e+07	-2.400e+01	-4.373e-07	5.488e+07	2.190e+01	-3.103e-08
18.598	21.000	21.000	21.000	-12.700	-2.400e+01	-7.192e-07	3.337e+07	-2.400e+01	-4.454e-07	5.389e+07	2.190e+01	-3.107e-08
19.338	21.000	21.000	21.000	-12.600	-2.400e+01	-7.173e-07	3.346e+07	-2.400e+01	-4.529e-07	5.299e+07	2.190e+01	-3.112e-08
20.079	21.000	21.000	21.000	-12.500	-2.400e+01	-7.149e-07	3.357e+07	-2.400e+01	-4.610e-07	5.206e+07	2.190e+01	-3.127e-08
20.888	21.000	21.000	21.000	-12.400	-2.400e+01	-7.125e-07	3.368e+07	-2.400e+01	-4.691e-07	5.116e+07	2.190e+01	-3.127e-08
21.629	21.000	21.000	21.000	-12.300	-2.400e+01	-7.104e-07	3.378e+07	-2.400e+01	-4.771e-07	5.030e+07	2.190e+01	-3.129e-08
22.399	21.000	21.000	21.000	-12.200	-2.400e+01	-7.083e-07	3.388e+07	-2.400e+01	-4.853e-07	4.945e+07	2.190e+01	-3.132e-08
23.128	21.000	21.000	21.000	-12.100	-2.400e+01	-7.056e-07	3.402e+07	-2.400e+01	-4.943e-07	4.855e+07	2.190e+01	-3.141e-08
23.920	21.000	21.000	21.000	-12.000	-2.400e+01	-7.037e-07	3.411e+07	-2.400e+01	-5.025e-07	4.776e+07	2.190e+01	-3.144e-08
24.658	21.000	21.000	21.000	-11.900	-2.400e+01	-7.014e-07	3.421e+07	-2.400e+01	-5.108e-07	4.699e+07	2.190e+01	-3.148e-08
25.417	21.000	21.000	21.000	-11.800	-2.400e+01	-6.987e-07	3.435e+07	-2.400e+01	-5.204e-07	4.612e+07	2.190e+01	-3.158e-08
26.158	21.000	21.000	21.000	-11.700	-2.400e+01	-6.965e-07	3.446e+07	-2.400e+01	-5.292e-07	4.535e+07	2.190e+01	-3.162e-08
27.319	21.000	21.000	21.000	-11.600	-2.400e+01	-6.942e-07	3.457e+07	-2.400e+01	-5.380e-07	4.461e+07	2.190e+01	-3.176e-08
28.336	21.000	21.000	21.000	-11.500	-2.400e+01	-6.916e-07	3.470e+07	-2.400e+01	-5.475e-07	4.383e+07	2.190e+01	-3.177e-08
29.078	21.000	21.000	21.000	-11.400	-2.400e+01	-6.893e-07	3.482e+07	-2.400e+01	-5.567e-07	4.311e+07	2.190e+01	-3.179e-08
29.818	21.000	21.000	21.000	-11.300	-2.400e+01	-6.867e-07	3.495e+07	-2.400e+01	-5.663e-07	4.238e+07	2.190e+01	-3.182e-08
30.559	21.000	21.000	21.000	-11.200	-2.400e+01	-6.845e-07	3.506e+07	-2.400e+01	-5.757e-07	4.169e+07	2.190e+01	-3.196e-08
31.298	21.000	21.000	21.000	-11.100	-2.400e+01	-6.820e-07	3.519e+07	-2.400e+01	-5.859e-07	4.096e+07	2.190e+01	-3.199e-08
32.039	21.000	21.000	21.000	-11.000	-2.400e+01	-6.794e-07	3.533e+07	-2.400e+01	-5.962e-07	4.025e+07	2.190e+01	-3.213e-08
32.798	21.000	21.000	21.000	-10.900	-2.400e+01	-6.770e-07	3.545e+07	-2.400e+01	-6.065e-07	3.957e+07	2.190e+01	-3.215e-08
33.539	21.000	21.000	21.000	-10.800	-2.400e+01	-6.744e-07	3.559e+07	-2.400e+01	-6.171e-07	3.889e+07	2.190e+01	-3.218e-08
34.278	21.000	21.000	21.000	-10.700	-2.400e+01	-6.720e-07	3.572e+07	-2.400e+01	-6.276e-07	3.824e+07	2.190e+01	-3.230e-08
35.029	21.000	21.000	21.000	-10.600	-2.400e+01	-6.690e-07	3.587e+07	-2.400e+01	-6.394e-07	3.754e+07	2.190e+01	-3.234e-08
35.769	21.000	21.000	21.000	-10.500	-2.400e+01	-6.663e-07	3.602e+07	-2.400e+01	-6.505e-07	3.689e+07	2.190e+01	-3.237e-08
36.510	21.000	21.000	21.000	-10.400	-2.400e+01	-6.638e-07	3.615e+07	-2.400e+01	-6.622e-07	3.624e+07	2.190e+01	-3.253e-08
37.249	21.000	21.000	21.000	-10.300	-2.400e+01	-6.613e-07	3.629e+07	-2.400e+01	-6.743e-07	3.559e+07	2.190e+01	-3.265e-08
37.988	21.000	21.000	21.000	-10.200	-2.400e+01	-6.586e-07	3.644e+07	-2.400e+01	-6.870e-07	3.493e+07	2.190e+01	-3.267e-08
38.729	21.000	21.000	21.000	-10.100	-2.400e+01	-6.556e-07	3.661e+07	-2.400e+01	-7.001e-07	3.428e+07	2.190e+01	-3.280e-08
39.473	21.000	21.000	21.000	-10.000	-2.400e+01	-6.529e-07	3.676e+07	-2.400e+01	-7.127e-07	3.368e+07	2.190e+01	-3.282e-08
40.233	21.000	21.000	21.000	-9.900	-2.400e+01	-6.504e-07	3.690e+07	-2.400e+01	-7.242e-07	3.314e+07	2.190e+01	-3.286e-08
40.970	21.000	21.000	21.000	-9.800	-2.400e+01	-6.474e-07	3.707e+07	-2.400e+01	-7.369e-07	3.257e+07	2.190e+01	-3.300e-08
41.709	21.000	21.000	21.000	-9.700	-2.400e+01	-6.444e-07	3.724e+07	-2.400e+01	-7.493e-07	3.203e+07	2.190e+01	-3.304e-08
42.450	21.000	21.000	21.000	-9.600	-2.400e+01	-6.419e-07	3.739e+07	-2.400e+01	-7.611e-07	3.153e+07	2.190e+01	-3.321e-08
43.188	21.000	21.000	21.000	-9.500	-2.400e+01	-6.393e-07	3.754e+07	-2.400e+01	-7.732e-07	3.104e+07	2.190e+01	-3.337e-08
43.929	21.000	21.000	21.000	-9.400	-2.400e+01	-6.362e-07	3.772e+07	-2.400e+01	-7.855e-07	3.055e+07	2.190e+01	-3.339e-08
44.668	21.000	21.000	21.000	-9.300	-2.400e+01	-6.334e-07	3.789e+07	-2.400e+01	-7.976e-07	3.009e+07	2.190e+01	-3.353e-08
45.428	21.000	21.000	21.000	-9.200	-2.400e+01	-6.308e-07	3.805e+07	-2.400e+01	-8.097e-07	2.964e+07	2.190e+01	-3.356e-08
46.169	21.000	21.000	21.000	-9.100	-2.400e+01	-6.278e-07	3.823e+07	-2.400e+01	-8.224e-07	2.918e+07	2.190e+01	-3.370e-08
46.909	21.000	21.000	21.000	-9.000	-2.400e+01	-6.251e-07	3.839e+07	-2.400e+01	-8.349e-07	2.875e+07	2.190e+01	-3.375e-08
48.229	21.000	21.000	21.000	-8.900	-2.400e+01	-6.223e-07	3.857e+07	-2.400e+01	-8.478e-07	2.831e+07	2.190e+01	-3.396e-08
49.398	21.000	21.000	21.000	-8.800	-2.400e+01	-6.194e-07	3.875e+07	-2.400e+01	-8.601e-07	2.790e+07	2.190e+01	-3.399e-08
50.138	21.000	21.000	21.000	-8.700	-2.400e+01	-6.164e-07	3.894e+07	-2.400e+01	-8.736e-07	2.747e+07	2.190e+01	-3.413e-08
50.879	21.000	21.000	21.000	-8.600	-2.400e+01	-6.132e-07	3.914e+07	-2.400e+01	-8.870e-07	2.706e+07	2.190e+01	-3.416e-08
51.599	21.000	21.000	21.000	-8.500	-2.400e+01	-6.106e-07	3.931e+07	-2.400e+01	-8.993e-07	2.669e+07	2.190e+01	-3.429e-08
52.339	21.000	21.000	21.000	-8.400	-2.400e+01	-6.075e-07	3.951e+07	-2.400e+01	-9.134e-07	2.628e+07	2.190e+01	-3.443e-08
53.083	21.000	21.000	21.000	-8.300	-2.400e+01	-6.046e-07	3.969e+07	-2.400e+01	-9.258e-07	2.592e+07	2.190e+01	-3.449e-08
53.875	21.000	21.000	21.000	-8.200	-2.400e+01	-6.018e-07	3.988e+07	-2.400e+01	-9.387e-07	2.557e+07	2.190e+01	-3.461e-08
54.619	21.000	21.000	21.000	-8.100	-2.400e+01	-5.987e-07	4.009e+07	-2.400e+01	-9.532e-07	2.518e+07	2.190e+01	-3.484e-08
55.378	21.000	21.000	21.000	-8.000	-2.400e+01	-5.959e-07	4.028e+07	-2.400e+01	-9.669e-07	2.482e+07	2.190e+01	-3.485e-08
56.119	21.000	21.000	21.000	-7.900	-2.400e+01	-5.925e-07	4.050e+07	-2.400e+01	-9.814e-07	2.445e+07	2.190e+01	-3.502e-08
56.859	21.000	21.000	21.000	-7.800	-2.400e+01	-5.894e-07	4.072e+07	-2.400e+01	-9.962e-07	2.409e+07	2.190e+01	-3.507e-08
57.589	21.000	21.000	21.000	-7.700	-2.400e+01	-5.866e-07	4.092e+07	-2.400e+01	-1.010e-06	2.377e+07	2.190e+01	-3.522e-08
58.337	21.000	21.000	21.000	-7.600	-2.400e+01	-5.833e-07	4.115e+07	-2.400e+01	-1.024e-06	2.343e+07	2.190e+01	-3.528e-08
59.069	21.000	21.000	21.000	-7.500	-2.400e+01	-5.803e-07	4.136e+07	-2.400e+01	-1.039e-06	2.311e+07	2.190e+01	-3.542e-08
59.809	21.000	21.000	21.000	-7.400	-2.400e+01	-5.774e-07	4.156e+07	-2.400e+01	-1.053e-06	2.279e+07	2.190e+01	-3.554e-08
60.549	21.000	21.000	21.000	-7.300	-2.400e+01	-5.740e-07	4.181e+07	-2.400e+01	-1.071e-06	2.242e+07	2.190e+01	-3.564e-08
61.341	21.000	21.000	21.000	-7.200	-2.400e+01	-5.709e-07	4.204e+07	-2.400e+01	-1.088e-06	2.205e+07	2.190e+01	-3.576e-08
62.079	21.000	21.000	21.000	-7.100	-2.400e+01	-5.679e-07	4.226e+07	-2.400e+01	-1.107e-06	2.168e+07	2.190e+01	-3.596e-08
62.824	21.000	21.000	21.000	-7.000	-2.400e+01	-5.647e-07	4.250e+07	-2.400e+01	-1.125e-06	2.133e+07	2.190e+01	-3.608e-08
63.574	21.000	21.000	21.000	-6.900	-2.400e+01	-5.619e-07	4.271e+07	-2.400e+01	-1.143e-06	2.100e+07	2.190e+01	-3.612e-08
64.351	21.000	21.000	21.000	-6.800	-2.400e+01	-5.583e-07	4.299e+07	-2.400e+01	-1.163e-06	2.064e+07	2.190e+01	-3.625e-08
65.100	21.000	21.000	21.000	-6.700	-2.400e+01	-5.553e-07	4.322e+07	-2.400e+01	-1.180e-06	2.033e+07	2.190e+01	-3.637e-08
65.840	21.000	21.000	21.000	-6.600	-2.400e+01	-5.518e-07	4.349e+07	-2.400e+01	-1.201e-06	1.998e+07	2.190e+01	-3.665e-08
66.580	21.000	21.000	21.000	-6.500	-2.400e+01	-5.487e-07	4.374e+07	-2.400e+01	-1.221e-06	1.966e+07	2.190e+01	-3.678e-08
67.331	21.000	21.000	21.000	-6.400	-2.400e+01	-5.458e-07	4.398e+07	-2.400e+01	-1.240e-06	1.935e+07	2.190e+01	-3.692e-08
68.070	21.000	21.000	21.000	-6.300	-2.400e+01	-5.423e-07	4.425e+07	-2.400e+01	-1.262e-06	1.902e+07	2.190e+01	-3.706e-08
68.791	21.000	21.000	21.000	-6.200	-2.400e+01	-5.390e-07	4.453e+07	-2.400e+01	-1.284e-06	1.869e+07	2.190e+01	-3.723e-08
69.530	21.000	21.000	21.000	-6.100	-2.400e+01	-5.358e-07	4.480e+07	-2.400e+01	-1.305e-06	1.840e+07	2.190e+01	-3.740e-08
70.270	21.000	21.000	21.000	-6.000	-2.400e+01	-5.324e-07	4.508e+07	-2.400e+01	-1.327e-06	1.809e+07	2.190e+01	-3.754e-08
71.040	21.000	21.000	21.000	-5.900	-2.400e+01	-5.293e-07	4.534e+07	-2.400e+01	-1.347e-06	1.781e+07	2.190e+01	-3.772e-08
71.780	21.000	21.000	21.000	-5.800	-2.400e+01	-5.256e-07	4.566e+07	-2.400e+01	-1.371e-06	1.751e+07	2.190e+01	-3.813e-08
72.523	21.000	21.000	21.000	-5.700	-2.400e+01	-5.224e-07	4.595e+07	-2.400e+01	-1.394e-06	1.722e+07	2.190e+01	-3.835e-08
73.260	21.000	21.000	21.000	-5.600	-2.400e+01	-5.188e-07	4.626e+07	-2.400e+01	-1.418e-06	1.693e+07	2.190e+01	-3.863e-08
73.991	21.000	21.000	21.000	-5.500	-2.400e+01	-5.155e-07	4.655e+07	-2.400e+01	-1.441e-06	1.666e+07	2.190e+01	-3.889e-08
74.720	21.000	21.000	21.000	-5.400	-2.400e+01	-5.122e-07	4.686e+07	-2.400e+01	-1.464e-06	1.639e+07	2.190e+01	-3.917e-08
75.462	21.000	21.000	21.000	-5.300	-2.400e+01	-5.088e-07	4.717e+07	-2.400e+01	-1.489e-06	1.611e+07	2.190e+01	-3.948e-08
76.204	21.000	21.000	21.000	-5.200	-2.400e+01	-5.058e-07	4.745e+07	-2.400e+01	-1.513e-06	1.586e+07	2.190e+01	-3.979e-08
76.944	21.000	21.000	21.000	-5.100	-2.400e+01	-5.023e-07	4.778e+07	-2.400e+01	-1.538e-06	1.560e+07	2.190e+01	-4.012e-08
77.681	21.000	21.000	21.000	-5.000	-2.400e+01	-4.984e-07	4.815e+07	-2.400e+01	-1.565e-06	1.533e+07	2.190e+01	-4.050e-08
78.440	21.000	21.000	21.000	-4.900	-2.400e+01	-4.952e-07	4.847e+07	-2.400e+01	-1.593e-06	1.507e+07	2.190e+01	-4.093e-08
79.181	21.000	21.000	21.000	-4.800	-2.400e+01	-4.919e-07	4.879e+07	-2.400e+01	-1.617e-06	1.484e+07	2.190e+01	-4.172e-08
