time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2	TH2690A_1.VOLT	TH2690A_1.CURR
1.182	1.000	0.000	-0.500	1.000	-2.400e+01	-1.154e-08	2.080e+09	-2.400e+01	-5.259e-09	4.564e+09	2.190e+01	-3.824e-08
1.802	1.000	0.000	-0.490	1.000	-2.400e+01	-1.158e-08	2.073e+09	-2.400e+01	-5.298e-09	4.530e+09	2.190e+01	-3.824e-08
2.235	1.000	-0.000	-0.480	1.000	-2.400e+01	-1.157e-08	2.074e+09	-2.400e+01	-5.255e-09	4.567e+09	2.190e+01	-3.823e-08
2.726	1.000	0.000	-0.470	1.000	-2.400e+01	-1.162e-08	2.066e+09	-2.400e+01	-5.299e-09	4.529e+09	2.190e+01	-3.823e-08
3.155	1.000	0.000	-0.460	1.000	-2.400e+01	-1.161e-08	2.067e+09	-2.400e+01	-5.306e-09	4.523e+09	2.190e+01	-3.823e-08
3.611	1.000	0.000	-0.450	1.000	-2.400e+01	-1.165e-08	2.060e+09	-2.400e+01	-5.332e-09	4.501e+09	2.190e+01	-3.823e-08
4.045	1.000	0.000	-0.440	1.000	-2.400e+01	-1.169e-08	2.053e+09	-2.400e+01	-5.333e-09	4.500e+09	2.190e+01	-3.823e-08
4.491	1.000	-0.000	-0.430	1.000	-2.400e+01	-1.171e-08	2.050e+09	-2.400e+01	-5.295e-09	4.533e+09	2.190e+01	-3.823e-08
4.952	1.000	0.000	-0.420	1.000	-2.400e+01	-1.179e-08	2.036e+09	-2.400e+01	-5.348e-09	4.487e+09	2.190e+01	-3.823e-08
5.402	1.000	0.000	-0.410	1.000	-2.400e+01	-1.182e-08	2.030e+09	-2.400e+01	-5.357e-09	4.480e+09	2.190e+01	-3.823e-08
5.852	1.000	0.000	-0.400	1.000	-2.400e+01	-1.191e-08	2.015e+09	-2.400e+01	-5.398e-09	4.446e+09	2.190e+01	-3.823e-08
6.311	1.000	0.000	-0.390	1.000	-2.400e+01	-1.206e-08	1.990e+09	-2.400e+01	-5.389e-09	4.454e+09	2.190e+01	-3.838e-08
6.772	1.000	0.000	-0.380	1.000	-2.400e+01	-1.219e-08	1.969e+09	-2.400e+01	-5.403e-09	4.442e+09	2.190e+01	-3.851e-08
7.232	1.000	0.000	-0.370	1.000	-2.400e+01	-1.253e-08	1.916e+09	-2.400e+01	-5.390e-09	4.453e+09	2.190e+01	-3.868e-08
7.686	1.000	0.000	-0.360	1.000	-2.400e+01	-1.319e-08	1.820e+09	-2.400e+01	-5.392e-09	4.451e+09	2.190e+01	-3.895e-08
8.152	1.000	0.000	-0.350	1.000	-2.400e+01	-1.474e-08	1.629e+09	-2.400e+01	-5.400e-09	4.445e+09	2.190e+01	-3.896e-08
8.641	1.000	0.000	-0.340	1.000	-2.400e+01	-1.760e-08	1.364e+09	-2.400e+01	-5.410e-09	4.436e+09	2.190e+01	-3.923e-08
9.112	1.000	0.000	-0.330	1.000	-2.400e+01	-2.207e-08	1.087e+09	-2.400e+01	-5.444e-09	4.409e+09	2.190e+01	-3.954e-08
9.602	1.000	0.000	-0.320	1.000	-2.400e+01	-2.881e-08	8.330e+08	-2.400e+01	-5.427e-09	4.422e+09	2.190e+01	-3.982e-08
10.052	1.000	0.000	-0.310	1.000	-2.400e+01	-3.858e-08	6.221e+08	-2.400e+01	-5.462e-09	4.394e+09	2.190e+01	-4.054e-08
10.530	1.000	-0.000	-0.300	1.000	-2.400e+01	-5.169e-08	4.643e+08	-2.400e+01	-5.410e-09	4.436e+09	2.190e+01	-4.057e-08
11.002	1.000	-0.000	-0.290	1.000	-2.400e+01	-6.794e-08	3.532e+08	-2.400e+01	-5.418e-09	4.429e+09	2.190e+01	-4.101e-08
11.485	1.000	0.000	-0.280	1.000	-2.400e+01	-8.713e-08	2.754e+08	-2.400e+01	-5.456e-09	4.399e+09	2.190e+01	-4.148e-08
11.962	1.000	0.000	-0.270	1.000	-2.400e+01	-1.120e-07	2.142e+08	-2.400e+01	-5.496e-09	4.367e+09	2.190e+01	-4.203e-08
12.432	1.000	0.000	-0.260	1.000	-2.400e+01	-1.406e-07	1.707e+08	-2.400e+01	-5.438e-09	4.414e+09	2.190e+01	-4.263e-08
12.892	1.000	0.000	-0.250	1.000	-2.400e+01	-1.709e-07	1.405e+08	-2.400e+01	-5.486e-09	4.375e+09	2.190e+01	-4.331e-08
13.362	1.000	0.000	-0.240	1.000	-2.400e+01	-2.035e-07	1.179e+08	-2.400e+01	-5.473e-09	4.385e+09	2.190e+01	-4.406e-08
13.832	1.000	0.000	-0.230	1.000	-2.400e+01	-2.382e-07	1.008e+08	-2.400e+01	-5.422e-09	4.427e+09	2.190e+01	-4.493e-08
14.302	1.000	0.000	-0.220	1.000	-2.400e+01	-2.740e-07	8.758e+07	-2.400e+01	-5.487e-09	4.374e+09	2.190e+01	-4.596e-08
14.772	1.000	0.000	-0.210	1.000	-2.400e+01	-3.107e-07	7.725e+07	-2.400e+01	-5.497e-09	4.366e+09	2.190e+01	-4.712e-08
15.242	1.000	0.000	-0.200	1.000	-2.400e+01	-3.492e-07	6.873e+07	-2.400e+01	-5.517e-09	4.350e+09	2.190e+01	-4.847e-08
15.713	1.000	0.000	-0.190	1.000	-2.400e+01	-3.879e-07	6.187e+07	-2.400e+01	-5.493e-09	4.370e+09	2.190e+01	-5.007e-08
16.172	1.000	0.000	-0.180	1.000	-2.400e+01	-4.270e-07	5.621e+07	-2.400e+01	-5.486e-09	4.375e+09	2.190e+01	-5.205e-08
16.643	1.000	0.000	-0.170	1.000	-2.400e+01	-4.656e-07	5.155e+07	-2.400e+01	-5.503e-09	4.361e+09	2.190e+01	-5.440e-08
17.142	1.000	0.000	-0.160	1.000	-2.400e+01	-5.047e-07	4.755e+07	-2.400e+01	-5.489e-09	4.373e+09	2.190e+01	-5.715e-08
17.632	1.000	0.000	-0.150	1.000	-2.400e+01	-5.434e-07	4.417e+07	-2.400e+01	-5.512e-09	4.354e+09	2.190e+01	-6.033e-08
18.086	1.000	0.000	-0.140	1.000	-2.400e+01	-5.823e-07	4.121e+07	-2.400e+01	-5.514e-09	4.352e+09	2.190e+01	-6.440e-08
18.543	1.000	0.000	-0.130	1.000	-2.400e+01	-6.217e-07	3.860e+07	-2.400e+01	-5.504e-09	4.360e+09	2.190e+01	-6.985e-08
19.012	1.000	0.000	-0.120	1.000	-2.400e+01	-6.620e-07	3.626e+07	-2.400e+01	-5.535e-09	4.336e+09	2.190e+01	-7.749e-08
19.482	1.000	0.000	-0.110	1.000	-2.400e+01	-7.044e-07	3.407e+07	-2.400e+01	-5.453e-09	4.402e+09	2.190e+01	-8.794e-08
19.953	1.000	-0.000	-0.100	1.000	-2.400e+01	-7.497e-07	3.201e+07	-2.400e+01	-5.503e-09	4.361e+09	2.190e+01	-1.033e-07
20.422	1.000	0.000	-0.090	1.000	-2.400e+01	-7.990e-07	3.004e+07	-2.400e+01	-5.575e-09	4.305e+09	2.190e+01	-1.287e-07
20.892	1.000	0.000	-0.080	1.000	-2.400e+01	-8.539e-07	2.811e+07	-2.400e+01	-5.564e-09	4.313e+09	2.190e+01	-1.822e-07
21.362	1.000	0.000	-0.070	1.000	-2.400e+01	-9.227e-07	2.601e+07	-2.400e+01	-5.608e-09	4.280e+09	2.190e+01	-3.498e-07
21.833	1.000	0.000	-0.060	1.000	-2.400e+01	-1.001e-06	2.398e+07	-2.400e+01	-6.035e-09	3.977e+09	2.190e+01	-1.588e-06
22.302	1.000	0.000	-0.050	1.000	-2.400e+01	-1.049e-06	2.288e+07	-2.400e+01	-7.148e-09	3.358e+09	2.190e+01	-1.588e-06
22.772	1.000	0.000	-0.040	1.000	-2.400e+01	-1.071e-06	2.240e+07	-2.400e+01	-8.295e-09	2.893e+09	2.190e+01	-6.372e-04
23.252	1.000	0.000	-0.030	1.000	-2.400e+01	-1.084e-06	2.215e+07	-2.400e+01	-9.432e-09	2.544e+09	2.190e+01	-1.033e-03
23.703	1.000	0.000	-0.020	1.000	-2.400e+01	-1.089e-06	2.203e+07	-2.400e+01	-1.060e-08	2.264e+09	2.190e+01	-1.432e-03
24.172	1.000	0.000	-0.010	1.000	-2.400e+01	-1.091e-06	2.200e+07	-2.400e+01	-1.175e-08	2.043e+09	2.190e+01	-1.812e-03
24.644	1.000	0.000	0.000	1.000	-2.400e+01	-1.091e-06	2.200e+07	-2.400e+01	-1.299e-08	1.848e+09	2.190e+01	-2.031e-03
25.124	1.000	0.000	0.010	1.000	-2.400e+01	-1.090e-06	2.201e+07	-2.400e+01	-1.437e-08	1.670e+09	2.190e+01	-2.064e-03
25.593	1.000	0.000	0.020	1.000	-2.400e+01	-1.090e-06	2.202e+07	-2.400e+01	-1.574e-08	1.524e+09	2.190e+01	-2.199e-03
