time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2	TH2690A_1.VOLT	TH2690A_1.CURR
30.362	-5.750	6.250	-5.750	6.250	-2.400e+01	6.074e-10	-3.951e+10	-2.400e+01	-7.286e-10	3.294e+10	2.190e+01	-1.968e-09
31.387	-5.750	6.000	-5.500	6.250	-2.400e+01	5.371e-10	-4.468e+10	-2.400e+01	-7.479e-10	3.209e+10	2.190e+01	-1.968e-09
33.228	-5.750	5.750	-5.250	6.250	-2.400e+01	5.799e-10	-4.138e+10	-2.400e+01	-7.651e-10	3.137e+10	2.190e+01	-1.968e-09
34.115	-5.750	5.500	-5.000	6.250	-2.400e+01	5.606e-10	-4.281e+10	-2.400e+01	-7.739e-10	3.101e+10	2.190e+01	-1.968e-09
35.006	-5.750	5.250	-4.750	6.250	-2.400e+01	6.151e-10	-3.902e+10	-2.400e+01	-7.973e-10	3.010e+10	2.190e+01	-1.968e-09
35.976	-5.750	5.000	-4.500	6.250	-2.400e+01	5.992e-10	-4.005e+10	-2.400e+01	-7.221e-10	3.324e+10	2.190e+01	-1.967e-09
36.876	-5.750	4.750	-4.250	6.250	-2.400e+01	5.004e-10	-4.796e+10	-2.400e+01	-7.369e-10	3.257e+10	2.190e+01	-1.967e-09
37.775	-5.750	4.500	-4.000	6.250	-2.400e+01	5.536e-10	-4.335e+10	-2.400e+01	-6.908e-10	3.474e+10	2.190e+01	-1.967e-09
38.676	-5.750	4.250	-3.750	6.250	-2.400e+01	5.131e-10	-4.678e+10	-2.400e+01	-7.396e-10	3.245e+10	2.190e+01	-1.967e-09
39.575	-5.750	4.000	-3.500	6.250	-2.400e+01	5.675e-10	-4.229e+10	-2.400e+01	-7.559e-10	3.175e+10	2.190e+01	-1.967e-09
40.516	-5.750	3.750	-3.250	6.250	-2.400e+01	5.540e-10	-4.332e+10	-2.400e+01	-7.679e-10	3.126e+10	2.190e+01	-1.967e-09
41.427	-5.750	3.500	-3.000	6.250	-2.400e+01	5.717e-10	-4.198e+10	-2.400e+01	-7.314e-10	3.281e+10	2.190e+01	-1.967e-09
